FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9553437  O    klyd3r
9553267  O    RyanDraves
9552981  O    jcjones94
9552894  O    AzureFractal
9552061  O    ipost
9551901  O    huizew
9551165  O    mpbuckley
9551118  O    ipost
9550768  O    klyd3r
9550270  O    ebretl
9549802  O    klyd3r
9549535  O    klyd3r
9549057    X  ebretl
9548793  O    ipost
9548721  O    klyd3r
9548172  O    kindanoob
9548126  O    dhallstr
9547982  O    ewirkerman
9547901  O    jcjones94
9547731    X  RyanDraves
9547063  O    kindanoob
9546609  O    RyanDraves
9546284    X  kindanoob
9545899  O    klyd3r
9545335  O    AzureFractal
9545160  O    BirsuIonut
9544132  O    ebretl
9543758  O    RyanDraves
9543650  O    klyd3r
9543251  O    ipost
9542861  O    dhallstr
9542763  O    kindanoob
9542671  O    dhallstr
9542395  O    klyd3r
9542047  O    alexander-mol
9541872  O    AzureFractal
9541481    X  RyanDraves
9541439  O    dhallstr
9541356  O    ericzhang98
9541328  O    RyanDraves
9540639    X  AzureFractal
9539888  O    alexander-mol
9539643  O    ipost
9539458  O    kindanoob
9539455    X  alexander-mol
9539356  O    alexander-mol
9539272  O    RyanDraves
9539193  O    alexander-mol
9538944  O    ipost
9537717  O    RyanDraves
9537359  O    ipost
9536852  O    succcubbus
9536611  O    ipost
9536023  O    AzureFractal
9535949  O    ipost
9535937    X  AzureFractal
9535855  O    AzureFractal
9535539  O    ipost
9534771  O    huizew
9534465    X  Rachol
9534229  O    kindanoob
9533919  O    alexander-mol
9533815  O    alexander-mol
9533535  O    dhallstr
9533514  O    kindanoob
9532764  O    kindanoob
9532678  O    Vlad-Shcherbina
9532574  O    klyd3r
9532449  O    Rachol
9532334  O    jcjones94
9531770  O    alexander-mol
9531672  O    alexander-mol
9531244  O    kindanoob
9531208  O    alexander-mol
9531165  O    klyd3r
9530847    X  ipost
9530545    X  spelljack
9530010  O    AzureFractal
9529928  O    kindanoob
9529396    X  AzureFractal
9529350  O    kindanoob
9529300  O    AzureFractal
9529271  O    ipost
9529216  O    RyanDraves
9528917    X  spelljack
9528626  O    kindanoob
9528401    X  succcubbus
9527901  O    spelljack
9527773  O    alexander-mol
9527662    X  ipost
9526957  O    ipost
9526107  O    alexander-mol
9525399  O    AzureFractal
9523628  O    RyanDraves
9523588  O    alexander-mol
9523583  O    dhallstr
9523565  O    kindanoob
9523268  O    kindanoob
